Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2026-03-04 15:54:00+00:00,25081.0,25083.75,25065.0,25066.0,896
2026-03-04 15:55:00+00:00,25097.5,25104.5,25079.25,25080.25,1163
2026-03-04 15:56:00+00:00,25102.75,25110.25,25091.25,25097.75,916
2026-03-04 15:57:00+00:00,25113.75,25115.5,25097.0,25102.0,884
2026-03-04 15:58:00+00:00,25126.0,25129.25,25111.5,25114.5,1314
2026-03-04 15:59:00+00:00,25127.5,25132.5,25120.5,25126.75,1017
2026-03-04 16:00:00+00:00,25138.75,25142.75,25126.75,25127.25,1976
2026-03-04 16:01:00+00:00,25144.0,25147.5,25134.75,25139.25,1304
2026-03-04 16:02:00+00:00,25145.75,25158.25,25136.75,25144.0,1683
2026-03-04 16:03:00+00:00,25152.75,25158.0,25142.5,25144.5,1198
2026-03-04 16:04:00+00:00,25139.0,25153.25,25136.75,25152.5,922
2026-03-04 16:05:00+00:00,25116.75,25143.0,25106.5,25139.5,1941
2026-03-04 16:06:00+00:00,25128.75,25136.25,25113.75,25117.0,1589
2026-03-04 16:07:00+00:00,25126.75,25132.5,25122.5,25129.0,1226
2026-03-04 16:08:00+00:00,25115.0,25127.0,25112.25,25125.75,1167
2026-03-04 16:09:00+00:00,25110.0,25117.75,25105.0,25115.25,778
2026-03-04 16:10:00+00:00,25101.5,25114.5,25101.0,25111.25,971
2026-03-04 16:11:00+00:00,25091.5,25105.75,25090.0,25101.0,939
2026-03-04 16:12:00+00:00,25070.25,25092.25,25068.75,25092.0,1597
2026-03-04 16:13:00+00:00,25068.25,25074.0,25061.0,25070.5,1259
2026-03-04 16:14:00+00:00,25070.25,25079.25,25059.0,25068.25,1068
2026-03-04 16:15:00+00:00,25075.0,25076.5,25063.5,25071.0,1383
2026-03-04 16:16:00+00:00,25089.25,25094.0,25072.75,25075.0,1414
2026-03-04 16:17:00+00:00,25081.25,25090.5,25077.5,25089.5,713
2026-03-04 16:18:00+00:00,25063.0,25082.5,25058.75,25079.75,1101
2026-03-04 16:19:00+00:00,25065.75,25073.25,25052.25,25062.25,929
2026-03-04 16:20:00+00:00,25078.75,25085.75,25058.75,25066.25,1105
2026-03-04 16:21:00+00:00,25083.25,25090.0,25073.75,25078.75,811
2026-03-04 16:22:00+00:00,25070.5,25087.25,25065.0,25083.25,726
2026-03-04 16:23:00+00:00,25068.5,25073.0,25054.25,25071.25,948
2026-03-04 16:24:00+00:00,25066.75,25069.25,25051.0,25068.25,1024
2026-03-04 16:25:00+00:00,25085.75,25089.75,25059.5,25066.0,959
2026-03-04 16:26:00+00:00,25100.75,25103.5,25084.25,25085.75,1152
2026-03-04 16:27:00+00:00,25119.0,25121.25,25094.0,25100.0,1194
2026-03-04 16:28:00+00:00,25109.25,25119.25,25094.5,25119.25,950
2026-03-04 16:29:00+00:00,25105.75,25113.5,25096.75,25109.0,744
2026-03-04 16:30:00+00:00,25107.75,25115.25,25097.25,25105.75,1215
2026-03-04 16:31:00+00:00,25119.5,25121.75,25102.75,25107.75,664
2026-03-04 16:32:00+00:00,25118.25,25122.5,25109.0,25119.0,604
2026-03-04 16:33:00+00:00,25128.0,25128.75,25118.5,25118.5,731
2026-03-04 16:34:00+00:00,25122.75,25135.25,25118.75,25127.75,826
2026-03-04 16:35:00+00:00,25127.75,25136.5,25116.25,25122.25,1091
2026-03-04 16:36:00+00:00,25137.0,25139.75,25123.25,25128.0,1095
2026-03-04 16:37:00+00:00,25119.25,25137.25,25116.25,25136.25,888
2026-03-04 16:38:00+00:00,25129.0,25129.0,25098.0,25118.25,1256
2026-03-04 16:39:00+00:00,25114.5,25135.25,25112.5,25128.5,925
2026-03-04 16:40:00+00:00,25139.75,25142.75,25109.0,25115.75,1428
2026-03-04 16:41:00+00:00,25153.5,25153.5,25138.0,25139.0,1631
2026-03-04 16:42:00+00:00,25159.5,25164.0,25148.5,25153.25,1514
2026-03-04 16:43:00+00:00,25161.0,25168.5,25158.0,25159.75,1245
2026-03-04 16:44:00+00:00,25159.75,25167.0,25154.0,25159.75,1019
2026-03-04 16:45:00+00:00,25165.25,25167.5,25154.5,25160.0,1012
2026-03-04 16:46:00+00:00,25168.75,25169.25,25160.0,25164.25,793
2026-03-04 16:47:00+00:00,25160.5,25170.0,25160.0,25168.5,919
2026-03-04 16:48:00+00:00,25165.75,25165.75,25147.75,25160.25,1373
2026-03-04 16:49:00+00:00,25164.25,25167.75,25161.25,25165.5,565
2026-03-04 16:50:00+00:00,25145.0,25165.5,25141.25,25164.5,1281
2026-03-04 16:51:00+00:00,25142.25,25147.5,25139.25,25145.75,597
