time,open,high,low,close,MagicTrend,BB Upper,BB Basis,BB Lower
1770601920,6962.6,6962.7,6961.2,6961.3,6963.321738829945,6967.362573454322,6963.319999999998,6959.277426545674
1770601980,6961.2,6961.3,6959.9,6960.2,6963.24230744307,6966.760210543337,6962.959999999997,6959.159789456658
1770602040,6959.9,6961.1,6959.6,6960.9,6962.9538459544565,6966.237618774578,6962.684999999998,6959.132381225418
1770602100,6960.8,6960.8,6958.9,6959.8,6962.683076763565,6965.528186994468,6962.329999999999,6959.13181300553
1770602160,6959.9,6960.9,6959.7,6960.1,6962.646461410852,6964.862031097409,6962.029999999997,6959.197968902585
1770602220,6960.2,6960.3,6958.2,6960.2,6962.117169128682,6964.584705094069,6961.829999999997,6959.075294905925
1770602280,6960.4,6962.2,6960.4,6961.8,6962.117169128682,6964.5422618638495,6961.799999999997,6959.057738136145
1770602340,6961.7,6961.9,6960.8,6961.1,6962.117169128682,6964.518550372302,6961.7599999999975,6959.001449627693
1770602400,6960.9,6961.7,6959.9,6961.3,6962.117169128682,6964.348486558751,6961.664999999998,6958.981513441246
1770602460,6961.2,6961.7,6960.7,6961.2,6962.117169128682,6963.937622571436,6961.514999999998,6959.092377428559
1770602520,6960.7,6961.2,6959.1,6959.8,6962.117169128682,6963.705042206371,6961.334999999999,6958.964957793627
1770602580,6959.7,6959.9,6958.4,6959.9,6961.545863984069,6963.519330768496,6961.184999999998,6958.8506692314995
1770602640,6959.8,6961.7,6959.7,6961.4,6961.545863984069,6963.267025634176,6961.0999999999985,6958.932974365821
1770602700,6961.6,6961.9,6959.9,6961.1,6961.545863984069,6963.229878207612,6961.074999999999,6958.9201217923855
1770602760,6961.2,6961.4,6960.7,6961.3,6961.545863984069,6963.232558409449,6961.144999999999,6959.0574415905485
1770602820,6961.2,6962.9,6960.7,6962.9,6961.545863984069,6963.161846472388,6961.129999999999,6959.0981535276105
1770602880,6962.8,6964.2,6962.2,6963.7,6961.545863984069,6963.246880138173,6961.144999999999,6959.043119861824
1770602940,6964.2,6965.9,6964.2,6965.4,6962.36035463176,6964.070559536997,6961.299999999998,6958.529440462999
1770603000,6965.3,6966.9,6965.3,6966.7,6963.508283705409,6965.208782932533,6961.624999999998,6958.041217067464
1770603060,6966.8,6967.2,6964.9,6965.4,6963.508283705409,6965.709907888784,6961.774999999999,6957.840092111213
1770603120,6965.3,6965.3,6962.9,6962.9,6963.508283705409,6965.813017190638,6961.854999999999,6957.8969828093595
1770603180,6962.7,6963.6,6961.9,6963.2,6963.508283705409,6965.927996315102,6962.004999999999,6958.082003684896
1770603240,6963.7,6963.7,6962.2,6962.3,6963.508283705409,6965.966465027446,6962.074999999999,6958.183534972552
1770603300,6962.2,6962.4,6961.2,6961.3,6963.508283705409,6965.919084785387,6962.149999999999,6958.3809152146105
1770603360,6961.2,6962.2,6960.9,6961.2,6963.508283705409,6965.883844950728,6962.204999999997,6958.526155049266
1770603420,6961.1,6962.4,6960.8,6962.2,6963.508283705409,6965.867288608467,6962.304999999998,6958.742711391528
1770603480,6962.4,6962.7,6961.8,6962.1,6963.508283705409,6965.876177744941,6962.319999999997,6958.763822255053
1770603540,6961.9,6962.2,6961.3,6961.4,6963.508283705409,6965.87295140237,6962.334999999997,6958.797048597625
1770603600,6961.7,6962.7,6961.2,6962.4,6963.508283705409,6965.895937835748,6962.389999999998,6958.884062164248
1770603660,6962.3,6963.2,6961.9,6962.4,6963.508283705409,6965.913235492605,6962.449999999999,6958.986764507393
1770603720,6962.3,6964.1,6961.9,6961.9,6963.508283705409,6965.811670099749,6962.554999999998,6959.298329900246
1770603780,6962.1,6962.4,6960.9,6962.4,6963.508283705409,6965.702978686231,6962.679999999998,6959.657021313764
1770603840,6962.7,6962.7,6961.2,6961.4,6963.508283705409,6965.702978686231,6962.679999999998,6959.657021313764
1770603900,6961.6,6962.2,6959.9,6961.2,6963.508283705409,6965.69782262301,6962.684999999998,6959.672177376985
1770603960,6961.1,6961.1,6958.6,6958.9,6962.965009442843,6965.956327196352,6962.564999999998,6959.173672803644
1770604020,6959.1,6960.2,6958.2,6958.2,6962.0920075542745,6966.211803711571,6962.329999999999,6958.448196288427
1770604080,6958.3,6960.4,6957.9,6959.9,6962.0920075542745,6966.106055995734,6962.139999999998,6958.173944004261
1770604140,6959.8,6960.9,6959.7,6960.2,6962.0920075542745,6965.633185333984,6961.879999999997,6958.12681466601
1770604200,6960.3,6962.2,6960.2,6961.9,6962.0920075542745,6964.67473230295,6961.639999999998,6958.605267697045
1770604260,6961.8,6963.6,6961.8,6963.2,6962.0920075542745,6964.141589588434,6961.529999999997,6958.91841041156
1770604320,6963.3,6964.7,6963.2,6964.4,6962.0920075542745,6964.445756952936,6961.604999999999,6958.764243047061
1770604380,6964.7,6964.9,6963.9,6964.3,6962.266677571692,6964.660266679194,6961.659999999998,6958.659733320802
1770604440,6964.2,6964.6,6963.9,6964.2,6962.453342057353,6964.944655173745,6961.754999999997,6958.56534482625
1770604500,6964.3,6965.4,6964.2,6965.2,6962.802673645882,6965.464825751264,6961.949999999999,6958.435174248734
1770604560,6965.3,6966.7,6965.2,6965.9,6963.782138916707,6966.076156642852,6962.1849999999995,6958.293843357147
1770604620,6966.1,6966.7,6965.7,6966.3,6964.365711133365,6966.674810385225,6962.389999999999,6958.105189614774
1770604680,6966.4,6966.7,6965.2,6965.4,6964.365711133365,6967.032264798581,6962.5549999999985,6958.077735201416
1770604740,6965.3,6965.4,6964.2,6965.2,6964.365711133365,6967.331273005621,6962.744999999998,6958.158726994375
1770604800,6965.1,6965.4,6964.4,6965.4,6964.365711133365,6967.620452368389,6962.894999999999,6958.169547631608
1770604860,6965.7,6967.3,6965.2,6966.9,6964.365711133365,6968.148558449468,6963.119999999998,6958.0914415505285
1770604920,6967.1,6967.3,6966.7,6966.9,6965.433020224181,6968.623227587122,6963.369999999998,6958.1167724128745
1770604980,6967.1,6967.4,6965.8,6966.7,6965.433020224181,6969.010965354767,6963.584999999999,6958.159034645231
1770605040,6966.6,6967.2,6966.2,6966.4,6965.433020224181,6969.295869896488,6963.834999999999,6958.374130103511
1770605100,6966.7,6967.1,6966.4,6966.9,6965.433020224181,6969.595983938762,6964.119999999998,6958.644016061234
1770605160,6966.8,6966.8,6965.7,6966.4,6965.433020224181,6969.496389816957,6964.494999999998,6959.493610183039
1770605220,6966.3,6966.4,6965.2,6965.4,6965.433020224181,6968.945708997226,6964.854999999999,6960.764291002772
1770605280,6965.6,6965.9,6965.2,6965.4,6965.433020224181,6968.532998680558,6965.129999999999,6961.72700131944
1770605340,6965.7,6966.9,6965.7,6966.7,6965.433020224181,6968.0607436567825,6965.455,6962.849256343217
1770605400,6966.6,6966.6,6965.2,6965.6,6965.433020224181,6967.672141709837,6965.640000000001,6963.6078582901655
1770605460,6965.4,6965.7,6964.9,6965.2,6965.433020224181,6967.4539428103035,6965.740000000001,6964.026057189698
1770605520,6964.9,6965.7,6964.7,6965.3,6965.433020224181,6967.400270860991,6965.785000000001,6964.16972913901
1770605580,6965.2,6965.2,6964.4,6964.8,6965.433020224181,6967.346098947898,6965.81,6964.273901052103
1770605640,6964.7,6965.2,6964.7,6964.9,6965.433020224181,6967.259885128856,6965.845000000001,6964.4301148711465
1770605700,6966.8,6966.8,6963.7,6964.2,6965.433020224181,6967.360215611948,6965.795000000001,6964.229784388054
1770605760,6964.1,6964.1,6962.7,6962.9,6965.433020224181,6967.653457095211,6965.645000000001,6963.636542904792
1770605820,6962.8,6962.9,6961.7,6961.7,6964.266896856434,6968.032078516955,6965.415000000001,6962.797921483047
1770605880,6961.4,6961.4,6960.4,6960.7,6962.753517485147,6968.507822102836,6965.18,6961.852177897164
1770605940,6960.9,6961.9,6960.8,6961.4,6962.753517485147,6968.703165754613,6964.990000000001,6961.276834245388
1770606000,6961.6,6963.8,6961.4,6963.4,6962.753517485147,6968.660888476558,6964.890000000001,6961.119111523444
1770606060,6963.3,6963.3,6962.1,6962.6,6962.753517485147,6968.453293249646,6964.675000000001,6960.896706750356
1770606120,6962.2,6962.8,6961.8,6962.7,6962.753517485147,6968.191808267963,6964.465000000001,6960.738191732039
1770606180,6962.9,6963.1,6962.1,6962.7,6962.753517485147,6967.91918936053,6964.265000000001,6960.610810639472
1770606240,6962.8,6962.9,6961.4,6961.4,6962.753517485147,6967.734287552971,6964.015000000001,6960.295712447031
1770606300,6961.3,6962.3,6961.2,6961.8,6962.753517485147,6967.350208900485,6963.76,6960.169791099515
1770606360,6961.7,6962.3,6961.7,6961.7,6962.753517485147,6967.0068816694,6963.525,6960.043118330599
1770606420,6961.8,6961.9,6960.7,6961.4,6962.753517485147,6966.812620958671,6963.325,6959.837379041329
1770606480,6961.3,6961.4,6960.7,6961.1,6962.474886476852,6966.5895976655465,6963.110000000001,6959.630402334455
1770606540,6961.2,6961.7,6960.8,6961.3,6962.474886476852,6965.985409337054,6962.840000000001,6959.694590662948
