Datum,Nachricht
2016-02-26T15:30:00.000+01:00,⊘ ORDER STORNIERT: Entry zu weit weg! Entry=1.93 Close=2.07 Abstand=6.54% (Max=5%)
2016-04-11T15:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-04-11T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-04-11T19:30:00.000+02:00,FH Preis=2.82 | H2_EMA20=2.76 | Abstand=2.15%
2016-04-11T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=2.15% > Max=2%
2016-04-13T15:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-04-13T15:30:00.000+02:00,FH Preis=2.85 | H2_EMA20=2.78 | Abstand=2.59%
2016-04-13T15:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=2.59% > Max=2%
2016-04-18T15:30:00.000+02:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2016-05-10T19:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-05-10T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-05-10T19:30:00.000+02:00,FH Preis=3.68 | H2_EMA20=3.63 | Abstand=1.41%
2016-05-10T19:30:00.000+02:00,Entry=3.68 | SL=3.62 (mode=Halber Abstand) | last_fl=3.56
2016-05-10T19:30:00.000+02:00,→ LONG ORDER PENDING gesetzt: Entry=3.68 SL=3.62
2016-05-10T19:30:00.000+02:00,──── Order Berechnung ────
2016-05-10T19:30:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-05-10T19:30:00.000+02:00,Entry=3.68 | SL=3.62 | SL-Dist=0.06 | Loss/Kontrakt=0.06 | Qty=1666.66666667
2016-05-10T19:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=1666.66666667 Entry(Stop)=3.68 SL=3.62
2016-05-10T21:30:00.000+02:00,──── Order Berechnung ────
2016-05-10T21:30:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-05-10T21:30:00.000+02:00,Entry=3.68 | SL=3.62 | SL-Dist=0.06 | Loss/Kontrakt=0.06 | Qty=1666.66666667
2016-05-10T21:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=1666.66666667 Entry(Stop)=3.68 SL=3.62
2016-05-11T15:30:00.000+02:00,✓ POSITION ERÖFFNET: Richtung=LONG | Size=1666 | Trail SL wird gesetzt auf 3.62
2016-05-12T15:30:00.000+02:00,"♻ RESET: Position geschlossen, alle Variablen zurückgesetzt"
2016-05-13T15:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-05-13T21:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-05-13T21:30:00.000+02:00,FH Preis=3.73 | H2_EMA20=3.65 | Abstand=2.32%
2016-05-13T21:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=2.32% > Max=2%
2016-05-17T21:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-05-17T21:30:00.000+02:00,FH Preis=3.98 | H2_EMA20=3.75 | Abstand=6.13%
2016-05-17T21:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=6.13% > Max=2%
2016-05-19T15:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-05-19T15:30:00.000+02:00,FH Preis=3.97 | H2_EMA20=3.79 | Abstand=4.79%
2016-05-19T15:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=4.79% > Max=2%
2016-05-20T15:30:00.000+02:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2016-06-06T15:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-06-07T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-06-07T19:30:00.000+02:00,FH Preis=4.66 | H2_EMA20=4.37 | Abstand=6.56%
2016-06-07T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=6.56% > Max=2%
2016-06-08T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-06-08T19:30:00.000+02:00,FH Preis=4.56 | H2_EMA20=4.40 | Abstand=3.66%
2016-06-08T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=3.66% > Max=2%
2016-06-10T15:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-06-10T15:30:00.000+02:00,FH Preis=4.54 | H2_EMA20=4.43 | Abstand=2.29%
2016-06-10T15:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=2.29% > Max=2%
2016-06-13T15:30:00.000+02:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2016-06-13T21:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-06-14T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-06-14T19:30:00.000+02:00,FH Preis=4.50 | H2_EMA20=4.40 | Abstand=2.19%
2016-06-14T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=2.19% > Max=2%
2016-06-20T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-06-20T19:30:00.000+02:00,FH Preis=5.45 | H2_EMA20=4.85 | Abstand=12.42%
2016-06-20T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=12.42% > Max=2%
2016-06-20T21:30:00.000+02:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2016-06-28T15:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-06-28T21:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-06-28T21:30:00.000+02:00,FH Preis=5.19 | H2_EMA20=5.00 | Abstand=3.76%
2016-06-28T21:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=3.76% > Max=2%
2016-06-29T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-06-29T19:30:00.000+02:00,FH Preis=5.40 | H2_EMA20=5.04 | Abstand=7.14%
2016-06-29T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=7.14% > Max=2%
2016-07-06T15:30:00.000+02:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2016-07-06T21:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-07-06T21:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-07-06T21:30:00.000+02:00,FH Preis=5.11 | H2_EMA20=5.04 | Abstand=1.48%
2016-07-06T21:30:00.000+02:00,Entry=5.11 | SL=5.01 (mode=Halber Abstand) | last_fl=4.91
