time,open,high,low,close
1771298280,24559.2,24559.2,24554.3,24554.9
1771298340,24555.4,24557.7,24552.1,24555.7
1771298400,24556.1,24557.1,24551.5,24556.8
1771298460,24557.1,24573.7,24555.4,24567
1771298520,24566.9,24573.8,24566.4,24570.2
1771298580,24569.9,24572.7,24566.7,24571
1771298640,24571.3,24572.1,24554.4,24556
1771298700,24556.2,24557.6,24548.4,24555.5
1771298760,24555.2,24558.7,24549.2,24557.9
1771298820,24558,24558.7,24554.4,24556.2
1771298880,24556.3,24559.1,24551.4,24551.7
1771298940,24551.6,24555.9,24551.6,24553.1
1771299000,24553.3,24556.3,24543.1,24548.6
1771299060,24549,24549,24535.3,24535.3
1771299120,24535.4,24546.4,24532,24545.5
1771299180,24544.5,24545,24530.4,24537.9
1771299240,24538.2,24538.9,24525.6,24528.1
1771299300,24527.1,24527.3,24515.2,24520.9
1771299360,24520.3,24524.6,24513.4,24514.3
1771299420,24514.7,24532.1,24513.4,24530.9
1771299480,24531.6,24539.7,24528.8,24529.5
1771299540,24529.6,24531.1,24516.8,24517.2
1771299600,24518.1,24524.9,24516.1,24518.7
1771299660,24518.9,24519.9,24504.7,24514.8
1771299720,24515.1,24534.1,24514.3,24534.1
1771299780,24534.2,24538.8,24530.6,24537.3
1771299840,24537.2,24539.9,24534.7,24537.7
1771299900,24537.4,24542.4,24522.1,24525.4
1771299960,24525.5,24526.3,24520.2,24521
1771300020,24521.3,24526.5,24518.9,24523
1771300080,24522.8,24525.1,24519.5,24524.5
1771300140,24524.4,24526.2,24518.5,24522.4
1771300200,24522.6,24526,24515.3,24525.4
1771300260,24525.5,24533,24524.9,24526.2
1771300320,24526.4,24537.8,24526.4,24535.3
1771300380,24535.2,24539.9,24529.6,24534.1
1771300440,24534.3,24538.9,24533.3,24538.9
1771300500,24538.3,24539.1,24532.1,24534.5
1771300560,24534.7,24542.9,24532.3,24535.9
1771300620,24536.8,24541.5,24532.9,24536.9
1771300680,24536.7,24544,24536.2,24542.1
1771300740,24541.9,24543.1,24540.5,24541
1771300800,24541.1,24545.4,24537.5,24540.1
1771300860,24540,24549.4,24538.5,24546.6
1771300920,24547.4,24550.5,24545,24549.6
1771300980,24550.2,24552.5,24540.5,24540.7
1771301040,24540.6,24545.8,24538.7,24543.1
1771301100,24542.6,24548.5,24542.3,24543.7
1771301160,24544.5,24547.2,24537.7,24539.3
1771301220,24539.1,24540.5,24537.3,24538.6
1771301280,24538.4,24546.5,24538.1,24546.5
1771301340,24546.7,24551.7,24545.3,24549.2
1771301400,24549.4,24554.2,24548.8,24549.9
1771301460,24549.7,24554.3,24548.9,24551.5
1771301520,24551.7,24559.7,24551.7,24559.4
1771301580,24559.7,24561.2,24547.4,24548.5
1771301640,24548.4,24552.7,24548,24550.1
1771301700,24550.3,24550.6,24539.8,24540.4
1771301760,24540.7,24546.5,24539.2,24542.6
1771301820,24542.5,24546.3,24541.8,24545.7
1771301880,24545.8,24548.7,24542.2,24543.7
